title,prog_code,genre,air_date,air_time,Duration
Failure to Launch,MV001746010000,Romance-comedy,20150509,221500,105.0
TeenNick Top 10,EP016676970101,"Children,Music,Entertainment",20151219,20000,60.0
Local Radar,SH005027760000,Weather,20151219,150000,240.0
Songs That Don't Suck,SH018690980000,Music,20151219,50000,60.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151218,43000,30.0
Blaze and the Monster Machines,EP020169630023,"Children,Fantasy,Adventure,Educational,Animated",20151118,80000,24.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151118,113000,30.0
Mayweather/Pacquiao: At Last,SH021512920000,"Special,Sports non-event,Boxing",20150419,184500,60.0
Songs That Don't Suck,SH018690980000,Music,20151022,110000,60.0
Blaze and the Monster Machines,EP020169630005,"Children,Fantasy,Adventure,Educational,Animated",20151231,193800,27.0
Blaze and the Monster Machines,EP020169630020,"Children,Fantasy,Adventure,Educational,Animated",20160101,60000,24.0
Call of the Wildman: More Live Action!,EP015657800065,"Reality,Animals,Outdoors",20150704,230000,30.0
Local Radar,SH005027760000,Weather,20150704,140000,240.0
Local Radar,SH005027760000,Weather,20150705,100000,240.0
WordWorld,EP009488180004,"Children,Educational,Animated",20150510,120000,30.0
Local Radar,SH005027760000,Weather,20150510,220000,240.0
Blaze and the Monster Machines,EP020169630005,"Children,Fantasy,Adventure,Educational,Animated",20150712,233000,30.0
Fox 26 Morning News Weekends 7am,SH015877910000,News,20150712,120000,60.0
Eyewitness News at 5:30am,SH021656190000,News,20151106,103000,30.0
12 O'Clock Boys,MV005732140000,Documentary,20150412,50000,90.0
Fox 26 Morning News Weekends 7am,SH015877910000,News,20150412,120000,60.0
TeenNick Top 10,EP016676970090,"Children,Music,Entertainment",20150913,180000,60.0
Debate on Loretta Lynch Nomination,SH021743630000,Special,20150426,151400,29.0
Eyewitness News at 5:30am,SH021732810000,News,20151118,103000,30.0
Pizza King,SH018907160000,Comedy,20151120,130000,30.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151121,20000,30.0
CFB Daily,EP015950540009,"Sports non-event,Football",20151030,220000,60.0
The Dead Girl,MV001892630000,"Drama,Mystery,Suspense",20151031,150000,95.0
Curse of the Zodiac,MV002496290000,"Suspense,Crime drama",20151030,120000,90.0
Noticiero Telemundo KTMO,SH010233090000,News,20151230,40000,30.0
Doc Walker's Pro View,SH005459850000,Sports talk,20150419,160000,30.0
Songs That Don't Suck,SH018690980000,Music,20150420,120000,60.0
Blaze and the Monster Machines,EP020169630010,"Children,Fantasy,Adventure,Educational,Animated",20150815,233000,30.0
The Guns of Will Sonnett,EP000019710027,"Drama,Western",20150425,130000,30.0
Local Radar,SH005027760000,Weather,20150425,140000,240.0
WordWorld,EP009488180004,"Children,Educational,Animated",20150517,120000,30.0
Good Day Atlanta 7:00am,SH013296670000,News,20150328,110000,60.0
WordWorld,EP009488180085,"Children,Educational,Animated",20150906,143000,30.0
Fresh Off the Boat,EP019218760005,Sitcom,20150905,70000,30.0
Love and Romance,SH022449910000,null,20150905,80000,60.0
Lone Ranger,EP000026560010,"Western,Adventure",20151126,143000,30.0
Eyewitness News at 5:30am,SH003338470000,News,20151126,113000,30.0
Mayweather/Pacquiao: At Last,SH021512880000,"Special,Sports non-event,Boxing",20150502,180000,60.0
Conociendo a Nuestra Madre,SH018720920000,Religious,20150531,230000,30.0
Sustaining Our World Lecture,SH020551710000,Community,20150531,130000,90.0
Fox 26 Morning News Weekends 7am,SH015877910000,News,20150927,120000,60.0
WordWorld,EP009488180101,"Children,Educational,Animated",20151027,153000,30.0
Global With Matthew Amroliwala,SH019991040000,News,20151027,153000,30.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150921,100000,60.0
Dealing With Diversity,EP004511490010,"Educational,Public affairs",20150504,150000,60.0
Mama Hook Knows Best!,EP017844270001,Children,20150503,235500,5.0
The Gate of Revolt,SH021653770000,Music,20150504,60000,60.0
Grave Encounters 2,MV004203180000,Horror,20150404,230000,120.0
Local Radar,SH005027760000,Weather,20150404,140000,240.0
Lone Ranger,EP000026560127,"Western,Adventure",20151127,140000,30.0
Studio Sessions: Live From FM 91,EP011063590062,Music,20151127,43000,30.0
Global With Matthew Amroliwala,SH019991040000,News,20151020,153000,30.0
Doc Walker's Pro View,SH005459850000,Sports talk,20151021,30000,30.0
Eyewitness News at 5:30am,SH021732810000,News,20151021,93000,30.0
Heart of the Country,MV004980780000,"Drama,Romance",20150412,180000,120.0
Local Radar,SH005027760000,Weather,20150413,60000,240.0
BackStory,SH010959870000,"Documentary,Newsmagazine",20151005,90000,30.0
Mark Vereen,SH014823250000,Special,20151010,43000,30.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151010,60000,30.0
Failure to Launch,MV001746010000,Romance-comedy,20150607,5000,100.0
KAMC 28 News at 10p,SH007678370000,News,20150606,30000,35.0
ABC 36 News Saturday,SH021440760000,News,20150606,223000,30.0
Songs That Don't Suck,SH018690980000,Music,20150831,200000,60.0
Forgotten Four: Integration,SH019669900000,"Special,Documentary,Sports non-event",20150901,140500,60.0
WWSI Telemundo Local News 5:30P,SH020607040000,News,20151016,213000,30.0
Combate Américas,SH018621380000,"Reality,Martial arts",20150918,30000,120.0
Lone Ranger,EP000026560180,"Western,Adventure",20150730,130000,30.0
Local Radar,SH005027760000,Weather,20150730,20000,240.0
Local Radar,SH005027760000,Weather,20150731,20000,240.0
La Historia en el Once,EP017305840012,"Documentary,History",20150607,220000,30.0
Failure to Launch,MV001746010000,Romance-comedy,20150607,5000,100.0
The City,SH015425410000,null,20150607,113000,30.0
Wake Up With Al,SH011639660000,Weather,20151001,90000,60.0
Eyewitness News at 5:30am,SH022539040000,News,20151002,93000,30.0
America's Monuments Silver Coins Series,SH022724640000,Consumer,20151001,113000,30.0
Blaze and the Monster Machines,EP020169630006,"Children,Fantasy,Adventure,Educational,Animated",20151014,233000,30.0
KAMC 28 News at 10p,SH007678370000,News,20150903,30000,35.0
Dining with the Dean,EP014656550009,Sports non-event,20150321,170000,30.0
Songs That Don't Suck,SH018690980000,Music,20150321,140000,60.0
The Dead Girl,MV001892630000,"Drama,Mystery,Suspense",20150330,10000,95.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150817,100000,60.0
Local Radar,SH005027760000,Weather,20150907,180000,240.0
WordWorld,SH013287580000,"Children,Educational,Animated",20150908,113000,30.0
Con el Guapo Subido,SH020302270000,Fashion,20150611,163000,30.0
Second Chorus,MV000019170000,Musical comedy,20150405,210000,120.0
Deep Rising,MV000551730000,"Horror,Suspense",20150406,30000,120.0
WordWorld,EP009488180080,"Children,Educational,Animated",20150723,153000,30.0
Jack Holt At The River,SH007310850000,"Religious,Community",20150723,163000,30.0
Noticiero Telemundo KTMO,SH010233090000,News,20150804,30000,35.0
La Historia en el Once,EP017305840016,"Documentary,History",20151021,40000,30.0
Tub Therapy,SH021848010000,Consumer,20150709,160000,30.0
Kate and Mallory Fashions,SH016068190000,Shopping,20150702,190000,60.0
Local Radar,SH005027760000,Weather,20150909,140000,240.0
Jack Holt At The River,SH007310850000,"Religious,Community",20150924,163000,30.0
Songs That Don't Suck,SH018690980000,Music,20150924,0,60.0
Weekend Sexcapades,MV006128530000,Adults only,20150805,70000,85.0
Cooking Outdoors With Johnny Nix,EP015296860081,"Cooking,Outdoors",20150615,200000,30.0
Lone Ranger,EP000026560127,"Western,Adventure",20151225,170000,30.0
Rihanna: Evolution,SH022907130000,"Special,Documentary,Music",20151226,60000,60.0
Joel Peebles Ministries,SH015453690000,Religious,20150524,220000,30.0
Battle 360,EP010169940005,"Documentary,War,History",20151003,60000,60.0
Brooklyn Kinda Love,SH014194010000,Adults only,20151002,33000,30.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151002,60000,30.0
WordWorld,EP009488180003,"Children,Educational,Animated",20150806,203000,30.0
WordWorld,EP009488180117,"Children,Educational,Animated",20150806,153000,30.0
Blaze and the Monster Machines,EP020169630013,"Children,Fantasy,Adventure,Educational,Animated",20150827,163000,30.0
WJAC-TV News at 5AM,SH011429190000,News,20150827,90000,30.0
Epic Log Homes,EP016564300003,House/garden,20150805,40000,60.0
Brooklyn Kinda Love,SH014194010000,Adults only,20150902,193000,30.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20150619,103000,30.0
Sugar & Spice,MV001032330000,Comedy,20150428,33000,85.0
Doc Walker's Pro View,SH005459850000,Sports talk,20151007,30000,30.0
House Party IV,MV000970810000,Comedy,20150626,90000,120.0
Mediterranean Coral,SH018912290000,"Special,Shopping",20150908,110000,60.0
Eyewitness News at 5:30am,SH022539040000,News,20150909,93000,30.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150810,90000,60.0
Lone Ranger,EP000026560109,"Western,Adventure",20150630,130000,30.0
WordWorld,EP009488180071,"Children,Educational,Animated",20150915,203000,30.0
Noticiero Telemundo KTMO,SH010233090000,News,20150901,30000,35.0
Blaze and the Monster Machines,EP020169630013,"Children,Fantasy,Adventure,Educational,Animated",20150811,190000,30.0
Local 24 News Good Day 6am,SH017489620000,News,20150812,110000,60.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150922,130000,60.0
CFB Daily,SH015950540000,"Sports non-event,Football",20150928,230000,60.0
Guía Paranormal,SH010977840000,Educational,20150430,90000,60.0
WJAC-TV News at 5AM,SH011429190000,News,20150501,90000,30.0
Brooklyn Kinda Love,SH014194010000,Adults only,20150430,113000,30.0
There's a Girl in My Soup,MV000036320000,Comedy,20150728,170000,135.0
Sugar & Spice,MV001032330000,Comedy,20150911,102500,85.0
Yankees Batting Practice Today,SH008204600000,"Sports non-event,Baseball",20150911,220000,30.0
BackStory,SH010959870000,"Documentary,Newsmagazine",20150912,130000,30.0
WJAC-TV News at 5AM,SH011429190000,News,20150911,90000,30.0
Sell This House!,EP005867900158,"Reality,Home improvement,House/garden,How-to",20151220,53000,30.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20151221,140000,60.0
Beer Money,SH010500260000,"Sports non-event,Game show",20151214,70000,30.0
Ravi Zacharias Ministries,SH010468450000,"Special,Religious",20151228,23000,30.0
Beer Money,SH010500260000,"Sports non-event,Game show",20151227,43000,30.0
Qubool Hai,SH016327200000,null,20151227,13000,30.0
Dallas SWAT,EP007984060007,"Reality,Crime,Law",20151115,10000,60.0
MC Alternative,SH006715610000,Music,20151115,130000,120.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20151212,43000,60.0
George H.W. Bush Campaign Appearance,SH023135400000,"Special,Politics",20151122,152300,12.0
College Football Scoreboard,SH000369840000,"Sports non-event,Football",20151024,223000,30.0
Crusade in Europe,SH000170810000,"Documentary,War",20151031,220000,30.0
Bible Hunters,EP018942160002,"Religious,History",20151207,20000,60.0
WWE Raw En Español,SH017876060000,"Sports event,Wrestling",20151207,10000,180.0
News Channel 9 First at 10,SH023014230000,News,20151206,30000,30.0
The Real Housewives of Orange County,EP008151260263,Reality,20151102,40000,60.0
MC Alternative,SH006715610000,Music,20151119,10000,120.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20151119,43000,60.0
WNCN Today at 4:30AM,SH017211550000,News,20151119,93000,30.0
Las Más Sonadas,SH021569460000,Musical,20151119,193000,30.0
Beer Money,SH010500260000,"Sports non-event,Game show",20151018,93000,30.0
WWE Raw En Español,SH017876060000,"Sports event,Wrestling",20151017,40000,180.0
Sell This House!,EP005867900205,"Reality,Home improvement,House/garden,How-to",20151130,53000,30.0
Happy Feet Two,MV003615820000,"Children,Adventure,Musical,Comedy,Animated",20151130,153000,120.0
Papal Audience,SH001924470000,Religious,20151217,130000,90.0
News Channel 9 First at 10,SH023014230000,News,20151218,30000,30.0
Crusade in Europe,SH000170810000,"Documentary,War",20151109,230000,30.0
MC Alternative,SH006715610000,Music,20151109,90000,120.0
MC Alternative,SH006715610000,Music,20151019,60000,120.0
The Real Housewives of Orange County,EP008151260263,Reality,20151112,220000,60.0
MC Alternative,SH006715610000,Music,20151106,90000,120.0
Las Más Sonadas,SH021569460000,Musical,20151105,13000,30.0
Kroeze Brothers World Outreach,SH004891880000,Religious,20150614,170000,30.0
Beer Money,SH010500260000,"Sports non-event,Game show",20150614,233000,30.0
The Real Housewives of Orange County,EP008151260259,Reality,20151029,63200,58.0
MC Alternative,SH006715610000,Music,20151029,180000,120.0
Qubool Hai,SH016327200000,null,20151029,140000,30.0
Las Más Sonadas,SH021569460000,Musical,20151030,140000,30.0
Drive Through History Gospels,SH023020570000,Religious,20151222,70000,30.0
La Chúcara,SH020533210000,Soap,20150620,33000,90.0
The Real Housewives of Orange County,EP008151260227,Reality,20150724,234800,62.0
MC Alternative,SH006715610000,Music,20150726,200000,120.0
Beer Money,SH010500260000,"Sports non-event,Game show",20150727,30000,30.0
MC Alternative,SH006715610000,Music,20150614,0,120.0
Las Más Sonadas,SH021569460000,Musical,20151211,140000,30.0
The Merv Griffin Show,EP011893150008,Variety,20151215,60000,60.0
Sell This House!,EP005867900207,"Reality,Home improvement,House/garden,How-to",20150906,183000,30.0
JPost Conference,EP022199040002,null,20150711,73000,30.0
Santas in the Barn,EP023041980001,Reality,20151203,60200,59.0
Public Report,SH000217930000,"Public affairs,Community",20151203,83000,30.0
Beer Money,SH010500260000,"Sports non-event,Game show",20151204,50000,30.0
News at 5,SH020849070000,News,20151203,230000,30.0
News Channel 9 First at 10,SH023014230000,News,20151203,30000,30.0
MC Alternative,SH006715610000,Music,20151110,230000,120.0
Fox 5 News at 5:00,SH006033090000,News,20151130,220000,60.0
Santas in the Barn,EP023041980008,Reality,20151225,10000,60.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20151224,43000,60.0
La Gran Marcha de los Elefantes,SH021982330000,"Special,Nature,Animals",20151229,150000,60.0
Dallas SWAT,EP007984060007,"Reality,Crime,Law",20150628,10000,60.0
Legacy Legwear & Shapewear,SH017777020000,Shopping,20150629,40000,60.0
Las Más Sonadas,SH021569460000,Musical,20151229,140000,30.0
Conductas Totalmente Disparatadas,SH021721170000,null,20150621,33000,30.0
Sell This House!,EP005867900199,"Reality,Home improvement,House/garden,How-to",20151102,53000,30.0
MC Alternative,SH006715610000,Music,20151205,70000,120.0
WWE Raw En Español,SH017876060000,"Sports event,Wrestling",20151205,60000,180.0
MC Alternative,SH006715610000,Music,20151223,70000,120.0
The Real Housewives of Orange County,EP008151260238,Reality,20150831,60200,58.0
Jewish Broadway,EP014913020009,"Musical,Theater",20150831,20000,60.0
Richard Pryor: Omit the Logic,MV004758380000,Documentary,20150831,30000,90.0
Qubool Hai,SH016327200000,null,20151212,150000,30.0
Sell This House!,EP005867900187,"Reality,Home improvement,House/garden,How-to",20151004,93000,30.0
Sell This House!,EP005867900188,"Reality,Home improvement,House/garden,How-to",20151003,103000,30.0
Sweet Genius,EP014436630005,"Reality,Cooking",20151003,210000,60.0
WWE Raw En Español,SH017876060000,"Sports event,Wrestling",20151002,220000,180.0
Bible Hunters,EP018942160001,"Religious,History",20151207,100000,60.0
Public Report,SH000217930000,"Public affairs,Community",20151208,83000,90.0
MC Alternative,SH006715610000,Music,20151207,30000,120.0
In This Our Life,MV000057140000,Drama,20150802,220000,120.0
Réquiem de Chile,SH013211880000,"Community,History,Documentary",20150803,12500,65.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20150803,140000,60.0
The Real Housewives of Orange County,EP008151260265,Reality,20151123,235900,31.0
California Road Trip with Huell Howser,SH010197790000,"Talk,Educational,Community",20151216,3000,60.0
Crusade in Europe,SH000170810000,"Documentary,War",20151202,210000,30.0
Crusade in Europe,SH000170810000,"Documentary,War",20150706,50000,30.0
MC Alternative,SH006715610000,Music,20150705,80000,120.0
Silver Jewelry Clearance,SH022208520000,Shopping,20150705,80000,120.0
Get On Up,MV005429700000,"Biography,Docudrama",20151209,12500,140.0
Marlins Live!,SH011455250000,"Sports non-event,Baseball",20150823,200000,30.0
Réquiem de Chile,SH013211880000,"Community,History,Documentary",20150810,12500,65.0
Sell This House!,EP005867900204,"Reality,Home improvement,House/garden,How-to",20151114,143000,30.0
MC Alternative,SH006715610000,Music,20151113,130000,120.0
Sell This House!,EP005867900158,"Reality,Home improvement,House/garden,How-to",20151219,143000,30.0
La Hija del Capo Mayor,MV004495720000,"Spanish,Action",20151219,61500,90.0
MC Alternative,SH006715610000,Music,20151218,130000,120.0
Richard Pryor: Omit the Logic,MV004758380000,Documentary,20151202,41500,85.0
Richard Pryor: Omit the Logic,MV004758380000,Documentary,20151202,71500,85.0
Las Más Sonadas,SH021569460000,Musical,20151117,13000,30.0
MC Alternative,SH006715610000,Music,20150418,220000,120.0
College Football Scoreboard,SH000369840000,"Sports non-event,Football",20150927,63000,60.0
MC Alternative,SH006715610000,Music,20150927,40000,120.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20160101,140000,60.0
MC Alternative,SH006715610000,Music,20150511,0,120.0
JPost Conference,EP022209030005,null,20151107,30000,30.0
News Channel 9 First at 10,SH023014230000,News,20151107,30000,30.0
MC Alternative,SH006715610000,Music,20150912,60000,120.0
The Real Housewives of Orange County,EP008151260265,Reality,20151120,140700,31.0
MC Alternative,SH006715610000,Music,20150419,140000,120.0
Santo Domingo Invita,SH013549290000,null,20150419,140000,30.0
The Real Housewives of Orange County,EP008151260236,Reality,20150816,13000,60.0
James Robison: Water For Life,SH018721310000,Religious,20150816,23000,30.0
The Real Housewives of Orange County,EP008151260259,Reality,20151028,80100,61.0
Bible Hunters,EP018942160001,"Religious,History",20151028,230000,60.0
Las Más Sonadas,SH021569460000,Musical,20151028,193000,30.0
MC Alternative,SH006715610000,Music,20150517,120000,120.0
Qubool Hai,SH016327200000,null,20150516,63000,30.0
Jamie Marks Is Dead,MV005341280000,"Drama,Horror",20150518,40000,105.0
Marlins Live!,SH011455250000,"Sports non-event,Baseball",20150518,123000,30.0
La Chúcara,SH020533210000,Soap,20150517,11500,120.0
Fugitivos del Paraíso,MV001765350000,"Spanish,Drama",20150327,230000,90.0
Seven Psychopaths,MV003978690000,Comedy,20150329,90500,115.0
NEW Little Giant Ladder!,SH019621050000,Consumer,20150328,93000,30.0
Lucha Underground,SH020044290000,Wrestling,20150808,220000,120.0
Blankman,MV000400910000,Comedy,20150905,170000,120.0
Roc,EP000186290076,Sitcom,20151126,153000,30.0
WIS News 10 at 5,SH003405780000,News,20151126,220000,60.0
College Football Scoreboard,SH000369840000,"Sports non-event,Football",20150920,70000,60.0
MC Alternative,SH006715610000,Music,20150504,120000,120.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20150405,140000,60.0
Beyond the Medals: The Business of Sport,SH021062860000,"Sports non-event,Olympics",20150404,210000,60.0
The Real Housewives of Orange County,EP008151260249,Reality,20151020,0,60.0
NUTRiBULLET Rx,EP019919250017,Shopping,20150524,10000,60.0
WWE Raw En Español,SH017876060000,"Sports event,Wrestling",20150523,70000,180.0
Harold & Kumar Go to White Castle,MV001494860000,Comedy,20150531,60000,120.0
Lucha Underground,SH020044290000,Wrestling,20150530,230000,60.0
MC Alternative,SH006715610000,Music,20151023,80000,120.0
Get On Up,MV005429700000,"Biography,Docudrama",20151021,143500,145.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20151022,10000,60.0
WWE Raw En Español,SH017876060000,"Sports event,Wrestling",20150607,153000,180.0
Get On Up,MV005429700000,"Biography,Docudrama",20151016,23000,145.0
MC Alternative,SH006715610000,Music,20151016,200000,120.0
Marrable Hill Chapel,SH005852510000,Religious,20150607,230000,60.0
Roc,EP000186290012,Sitcom,20151001,210000,30.0
MC Alternative,SH006715610000,Music,20151014,20000,120.0
MC Alternative,SH006715610000,Music,20151014,140000,120.0
Rinker Buck on The Oregon Trail,SH022638800000,"Special,Educational",20151015,45500,73.0
Crusade in Europe,SH000170810000,"Documentary,War",20151013,220000,30.0
Semana en Vivo,SH015770470000,"Talk,Debate,Interview",20151014,10000,60.0
WNCN Today at 4:30AM,SH017211550000,News,20151013,83000,30.0
News 12 at 6pm,SH019019750000,News,20150903,220000,30.0
Beyond the Medals: The Business of Sport,SH021062860000,"Sports non-event,Olympics",20150321,180000,60.0
The Real Housewives of Orange County,EP008151260230,Reality,20150728,43100,60.0
Qubool Hai,SH016327200000,null,20150728,3000,30.0
The Real Housewives of Orange County,EP008151260237,Reality,20150818,60200,58.0
Crusade in Europe,SH000170810000,"Documentary,War",20150817,40000,30.0
